Rk,Player,Team,Salary_2019_to_20,Salary_2020_to_21,Salary_2021_to_22,Salary_2022_to_23,Salary_2023_to_24,Salary_2024_to_25,Signed Using,Guaranteed,Salary_Per_Million
506,Timothé Luwawu-Cabarrot,Brooklyn Nets,189702,,,,,,,844170,0.189702
507,Dragan Bender,Golden State Warriors,189702,,,,,,Minimum Salary,189702,0.189702
508,Mychal Mulder,Golden State Warriors,187782,1517981,1782621,,,,Minimum Salary,238534,0.187782
509,Alfonzo McKinnie,Cleveland Cavaliers,183114,,,,,,,2253031,0.183114
510,Gary Clark,Orlando Magic,163356,,,,,,,718765,0.163356
511,Joe Chealey,Charlotte Hornets,163356,,,,,,Minimum Salary,163356,0.163356
512,Cameron Payne,Toronto Raptors,150000,,,,,,,150000,0.15
514,Anthony Tolliver,Memphis Grizzlies,144901,,,,,,,144901,0.144901
515,Joakim Noah,LA Clippers,144901,,,,,,Minimum Salary,144901,0.144901
516,Troy Williams,Houston Rockets,122741,122741,122741,122741,,,,490964,0.122741
517,Johnathan Williams,Washington Wizards,106181,,,,,,,106181,0.106181
518,Tyler Cook,Cleveland Cavaliers,101504,,,,,,,151504,0.101504
519,Donta Hall,Detroit Pistons,101504,,,,,,,101504,0.101504
520,Yante Maten,Miami Heat,100000,,,,,,,100000,0.1
521,Jaylen Adams,Atlanta Hawks,100000,,,,,,,100000,0.1
522,Justin Anderson,Brooklyn Nets,98144,,,,,,,98144,0.098144
523,Demetrius Jackson,Boston Celtics,92857,92857,92857,92857,92857,,,464285,0.092857
524,Jeremy Pargo,Golden State Warriors,91557,,,,,,,91557,0.091557
525,Chasson Randle,Golden State Warriors,91557,,,,,,Minimum Salary,91557,0.091557
526,Jonah Bolden,Phoenix Suns,81678,,,,,,,81678,0.081678
527,Josh Magette,Orlando Magic,81678,,,,,,,81678,0.081678
528,Jarrod Uthoff,Memphis Grizzlies,81678,,,,,,,81678,0.081678
529,Dusty Hannahs,Memphis Grizzlies,81678,,,,,,,81678,0.081678
530,Derrick Walton,Detroit Pistons,81678,,,,,,,81678,0.081678
531,J.P. Macura,Cleveland Cavaliers,81678,,,,,,,81678,0.081678
532,Sheldon Mac,Cleveland Cavaliers,81678,,,,,,Minimum Salary,81678,0.081678
533,Mychal Mulder,Golden State Warriors,50752,,,,,,,238534,0.050752
534,Eric Mika,Sacramento Kings,50752,,,,,,,50752,0.050752
535,Zach Norvell,Golden State Warriors,50752,,,,,,,50752,0.050752
536,Malik Newman,Cleveland Cavaliers,50752,,,,,,,50752,0.050752
537,Marques Bolden,Cleveland Cavaliers,50752,,,,,,,50752,0.050752
538,Sir'Dominic Pointer,Cleveland Cavaliers,50752,,,,,,Minimum Salary,50752,0.050752
539,Paul Watson,Atlanta Hawks,50752,,,,,,,50752,0.050752
540,Tyler Cook,Cleveland Cavaliers,50000,,,,,,,151504,0.05
541,William Howard,Utah Jazz,50000,,,,,,,50000,0.05
542,Isaiah Taylor,Toronto Raptors,50000,,,,,,,50000,0.05
543,Tyler Lydon,Sacramento Kings,50000,,,,,,,50000,0.05
544,Hollis Thompson,Sacramento Kings,50000,,,,,,,50000,0.05
545,Tyler Ulis,Sacramento Kings,50000,,,,,,,50000,0.05
